section,Lecture,Age,Primary major,Other Primary Major,Other majors,Zip Code,4701018: What is the latitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701019: What is the longitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701117: Are you considering declaring a Data Science Major?,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,19,Engineering: Mechanical,,,53715,43.07,-89.4,No,pepperoni,dog,No,no preference,Maybe
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",LEC006,18,Data Science,,,53706,46.683334,7.85,Yes,mushroom,dog,Yes,no preference,No
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,19,Engineering: Biomedical,,,53703,31.046051,34.851612,No,Other,dog,No,night owl,Maybe
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,18,Data Science,Data science,Economics,53705,31.23,121.47,Yes,mushroom,dog,Yes,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,19,Engineering: Mechanical,,,53703,42.00741,-87.69384,Maybe,mushroom,dog,No,night owl,Yes
"COMP SCI 220:LAB313, COMP SCI 220:LEC001",LEC001,37,Data Science,,,53718,43.073051,-89.40123,Yes,green pepper,dog,No,no preference,Maybe
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,20,Other (please provide details below).,"History BS,",Data Science,53703,31.6200° N,74.8765° E,Yes,Other,cat,Yes,early bird,No
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,20,Other (please provide details below).,Economics,,53703,38.627003,-90.199402,Yes,mushroom,dog,Yes,night owl,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC001,20,Engineering: Mechanical,,,53703,40,-74,No,none (just cheese),dog,Yes,early bird,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,18,Data Science,N/A,N/A,53706,23.7275,37.9838,Maybe,pepperoni,dog,Yes,early bird,Yes
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,20,Mathematics/AMEP,,,53703,34.746613,113.625328,No,sausage,neither,Yes,early bird,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,21,Data Science,,pharmaceutical science,53703,30.572351,121.776761,Yes,pepperoni,cat,No,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,,Data Science,,,53715,35.72,-78.89,Yes,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,20,Other (please provide details below).,Information science,,53590,44.92556,-89.51539,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,22,Mathematics/AMEP,,data science,53704,40.76078,-111.891045,Yes,pineapple,dog,Yes,night owl,No
"COMP SCI 220:LAB314, COMP SCI 220:LEC001",LEC001,22,Other (please provide details below).,consumer behavior and marketplace studies,Entrepreneurial management,53715,43.653225,-79.383186,Yes,mushroom,cat,Yes,night owl,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB341",LEC004,22,Computer Science,,,53703,10.315699,123.885437,No,sausage,dog,Yes,early bird,No
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC002,20,Other (please provide details below).,Conservation Biology,Data Science,53703,40.16573,-105.101189,Yes,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC005,20,Computer Science,N/A,N/A,53726,39.4817° N,106.0384° W,No,Other,neither,Yes,early bird,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,19,Mathematics/AMEP,,,53715,48.85,2.35,Maybe,sausage,cat,No,night owl,Maybe
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC005,19,Data Science,,Computer Science,53706,30.572815,104.066803,Yes,mushroom,neither,No,early bird,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,24,Business: Information Systems,,Marketing,53703,37.566536,126.977966,No,tater tots,dog,No,early bird,No
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,19,Other (please provide details below).,Economics,Consumer Behavior & Marketplace Studies,53703,52.877491,-118.08239,Maybe,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,21,Computer Science,,,53703,28.538336,-81.379234,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,18,Data Science,,,53706,41.4,-81.9,Yes,sausage,dog,Yes,night owl,Maybe
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC002,21,Science: Biology/Life,,Life Science Communication,53703,43.038902,-87.906471,No,none (just cheese),neither,No,no preference,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB341",LEC004,21,Data Science,,,53703,3.86,-54.2,Yes,macaroni/pasta,dog,No,early bird,No
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,19,Engineering: Mechanical,,,53715,39.952583,-75.165222,No,macaroni/pasta,dog,Yes,no preference,Yes
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC001,20,Science: Other,,,53715,21.3099 N,157.8581,No,pineapple,dog,No,early bird,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,21,Data Science,None,None,48823,11.451419,19.81,Yes,mushroom,neither,No,night owl,Maybe
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,20,Computer Science,,,53715,41,-87,Maybe,Other,dog,No,night owl,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC001,21,Data Science,,,53705,42.3601 N,71.0589 W,Yes,pepperoni,dog,Yes,no preference,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,19,Computer Science,,Data Science,53706,48.856613,2.352222,Yes,pepperoni,dog,Yes,night owl,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,17,Statistics,data science,stats,53715,43.0722° N,89.4008° W,Yes,pineapple,dog,No,early bird,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,20,Other (please provide details below).,Economics,Statistics,53715,27.99942,120.66682,Yes,pepperoni,dog,Yes,early bird,No
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,19,Mathematics/AMEP,,,53711,45.85038,-84.616989,Yes,pineapple,cat,No,night owl,Yes
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,20,Computer Science,computer science; data science,,53711,40.842358,111.749992,Yes,pineapple,cat,No,night owl,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC001,18,Engineering: Mechanical,,,53706,39.738449,-104.984848,No,pepperoni,dog,No,early bird,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,21,Statistics,N/A,N/A,53705,41.878113,-87.629799,No,macaroni/pasta,dog,No,night owl,Yes
"COMP SCI 220:LAB362, COMP SCI 220:LEC006",LEC006,19,Engineering: Industrial,,,60540,41.878113,-87.629799,No,none (just cheese),dog,No,night owl,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC001,19,Engineering: Mechanical,,,53703,40.6263,14.3758,No,mushroom,dog,No,early bird,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,22,Engineering: Other,Chemical Engineering,,53703,48.13913,11.58022,No,macaroni/pasta,dog,Yes,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB341",LEC004,21,Other (please provide details below).,Economics (math emphasis),,53703,52.520008,13.404954,No,pepperoni,dog,No,night owl,No
COMP SCI 319:LEC004,LEC004,25,Science: Other,Biophysics PhD,,53705,30.21161,-97.80999,No,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,19,Computer Science,Computer Science,,53716,25.49443,-103.59581,No,pepperoni,cat,No,no preference,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,19,Data Science,,Economics,942995,64.963051,-19.020836,Yes,pineapple,dog,No,no preference,No
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,19,Computer Science,NA,NA,53706,41.878113,-87.629799,Maybe,pepperoni,cat,No,night owl,Maybe
COMP SCI 319:LEC001,LEC001,23,Other (please provide details below).,Economics,,53703,43.07348,-89.38089,Maybe,pepperoni,dog,No,night owl,Yes
COMP SCI 319:LEC001,LEC001,29,Business: Other,Technology Strategy/ Product Management,,53705,37.386051,-122.083855,No,Other,cat,No,no preference,Maybe
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,,Engineering: Mechanical,,,53706,14.34836,100.576271,No,pepperoni,neither,No,no preference,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC004,20,Other (please provide details below).,Undecided,,53715,37.566536,126.977966,Maybe,none (just cheese),neither,No,night owl,Yes
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,19,Engineering: Mechanical,Engineering: Mechanical,,53703,27.993828,120.699364,Maybe,sausage,neither,No,no preference,Yes
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC001,,Computer Science,,,53705,25.032969,121.565414,No,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC001,20,Mathematics/AMEP,,,53703,32.060253,118.796875,Maybe,pineapple,cat,Yes,night owl,Maybe
"COMP SCI 220:LAB331, COMP SCI 220:LEC003",LEC003,,Business: Other,,,53706-1723,50.07553,14.4378,No,pepperoni,dog,Yes,night owl,Maybe
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",,21,Data Science,,,57303,32.715736,-117.161087,Yes,macaroni/pasta,cat,Yes,no preference,Yes
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,18,Engineering: Mechanical,,,53706,45.5579,94.1632,No,sausage,dog,No,night owl,Yes
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,18,Engineering: Biomedical,,,53715,43.073051,-89.40123,No,sausage,dog,No,early bird,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC005,19,Engineering: Mechanical,,,53706,38.571739,-109.550797,No,pepperoni,cat,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,18,Engineering: Mechanical,,,53706,41.902782,12.496365,No,pepperoni,dog,Yes,night owl,No
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,21,Data Science,,,53711,120,30,Yes,sausage,dog,Yes,night owl,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC004,18,Engineering: Biomedical,,,53706,40.014984,-105.270546,No,green pepper,dog,No,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,20,Engineering: Mechanical,,,53715,53.2779N,6.1058W,No,sausage,dog,Yes,no preference,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,17,Science: Physics,,Computer Science,53706,50.088153,14.399437,Maybe,Other,cat,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,19,Engineering: Industrial,,,53705,35.084385,-106.650421,No,pineapple,cat,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC002,20,Engineering: Mechanical,N/A,N/A,53703,44.501343,-88.06221,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,18,Engineering: Mechanical,,,53703,45.659302,-92.466164,No,macaroni/pasta,dog,No,no preference,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,19,Data Science,,,53703,16.896721,42.5536,Yes,none (just cheese),neither,No,early bird,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB312",LEC001,18,Data Science,,,53703,23.885942,45.079163,Yes,mushroom,neither,No,early bird,Maybe
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,19,Engineering: Mechanical,Mechanical Engineering,,53703,55.953251,-3.188267,No,mushroom,cat,Yes,night owl,Yes
COMP SCI 319:LEC001,LEC003,30,Business: Other,,,53705,43.07175,-89.46498,Maybe,pineapple,cat,No,early bird,No
"COMP SCI 220:LAB362, COMP SCI 220:LEC006",LEC006,18,Other (please provide details below).,politicAL SCIENCE,,53706,39.640263,-106.374191,Yes,green pepper,dog,No,early bird,No
COMP SCI 319:LEC005,LEC005,23,Business: Information Systems,,,53705,27.99,120.69,No,green pepper,dog,No,night owl,No
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,18,Other (please provide details below).,Graphic Design,Computer Science,53706,40.713051,-74.007233,No,Other,dog,Yes,early bird,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB322",LEC002,21,Science: Other,ECON,Psychology,53715,37.369171,-122.112473,No,mushroom,dog,No,night owl,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,18,Computer Science,,,53706,21.3099° N,157.8581° W,Maybe,pepperoni,cat,No,night owl,Yes
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,19,Business: Other,Marketing,Data Science,53706,59.913868,10.752245,Yes,macaroni/pasta,dog,No,night owl,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,20,Other (please provide details below).,Cartography and GIS,,53726,43.0722° N,89.4008° W,No,sausage,cat,No,early bird,Maybe
"COMP SCI 220:LAB352, COMP SCI 220:LEC005",LEC001,21,Other (please provide details below).,Economics,No secondary major,53705,25.032969,120.960518,No,sausage,dog,Yes,night owl,Maybe
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC001,19,Engineering: Industrial,,Data Science,53703,42.03992,87.67732,Maybe,sausage,dog,Yes,night owl,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,,Computer Science,,,53706,35.443081,139.362488,Yes,sausage,dog,Yes,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB322",LEC002,22,Other (please provide details below).,Sociology,no,53703,53.483959,-2.244644,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC002,18,Other (please provide details below).,Undecided,,53706,43.073051,-89.40123,Yes,pineapple,dog,Yes,night owl,Yes
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC004,19,Engineering: Biomedical,,,53706,-37.81,144.96,No,sausage,dog,Yes,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC001,21,Mathematics/AMEP,,,53703,22.542883 N,114.062996 E,No,pepperoni,cat,No,no preference,Maybe
"COMP SCI 220:LEC002, COMP SCI 220:LAB324",LEC002,20,Statistics,,Economics,53715,23,113,Yes,pineapple,dog,No,night owl,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB314",LEC001,20,Business: Other,Consumer Behavior and Marketplace Studies,"Data Science, Digital Studies",53703,40.76078,-111.891045,Maybe,green pepper,dog,Yes,early bird,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,21,Data Science,data science,statistic,53705,40.712776,-74.005974,Yes,pepperoni,cat,No,night owl,Maybe
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,19,Engineering: Mechanical,N/A,N/A,53703,26.345631,-81.779083,No,pepperoni,dog,Yes,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,19,Engineering: Mechanical,,,53715,40.62632,14.37574,No,pepperoni,dog,No,no preference,Maybe
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,18,Engineering: Other,,,53706,40.73061,-73.9808,No,mushroom,dog,No,night owl,No
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,18,Other (please provide details below).,Atmospheric Sciences,,53706,39.74,-104.99,No,sausage,dog,Yes,night owl,Maybe
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,20,Data Science,,,53703,43.073051,-89.40123,Yes,macaroni/pasta,dog,Yes,early bird,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",LEC006,18,Engineering: Mechanical,,,53706,32.7157° N,117.1611° W,No,pineapple,dog,Yes,night owl,Yes
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,18,Computer Science,,,53706,51.507351,-0.127758,No,green pepper,dog,No,night owl,Yes
"COMP SCI 220:LAB343, COMP SCI 220:LEC004",LEC004,19,Other (please provide details below).,Education Studies,,53715,32.715736,-117.161087,Maybe,pepperoni,dog,No,night owl,Yes
COMP SCI 319:LEC004,LEC001,26,Languages,,,53703,50.11,8.68,Maybe,sausage,dog,No,no preference,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB351",LEC001,21,Other (please provide details below).,Economics with a math emphasis,,53715,55.676098,12.568337,No,pepperoni,cat,No,night owl,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC001,53,Mathematics/AMEP,,,53555,47.6,-122.3,No,mushroom,dog,No,night owl,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB341",LEC004,17,Computer Science,,,53706,,,No,Other,dog,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,18,Other (please provide details below).,Engineering Mechanics (Aerospace Engineering),,53706,43.038902,-87.906471,No,pepperoni,cat,No,night owl,No
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC002,20,Engineering: Mechanical,Mechanical Engineering,,53715,23.7157 N,117.1611 W,No,none (just cheese),cat,Yes,night owl,Maybe
"COMP SCI 220:LEC002, COMP SCI 220:LAB324",LEC002,22,Science: Other,Psychology,Biochemistry,53703,37.82034,-122.47872,No,mushroom,dog,No,early bird,No
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC001,22,Computer Science,.,Im thinking about the data science,53705,34.052235,-118.243683,Maybe,basil/spinach,dog,No,night owl,Yes
COMP SCI 319:LEC004,LEC004,26,Science: Biology/Life,,,53715,33.962425,-83.378622,No,pineapple,neither,Yes,no preference,Yes
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,18,Other (please provide details below).,Economics,I intend to do a Data Science Certificate,53715,41.878113,-87.629799,No,basil/spinach,cat,No,night owl,Maybe
COMP SCI 319:LEC004,LEC004,24,Engineering: Other,Civil and Environmental Engineering,,53703,47.5,19.04,No,pepperoni,dog,Yes,early bird,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,19,Engineering: Biomedical,NA,NA,53711,40.712776,74.005974,Maybe,pineapple,dog,No,early bird,No
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,19,Engineering: Mechanical,none,none,53715,43',-90',No,sausage,dog,No,no preference,Maybe
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,18,Data Science,,Journalism,94707,37.566536,126.977966,Yes,pineapple,dog,Yes,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",LEC006,20,Other (please provide details below).,Undecided,n/a,53719,62.2001° S,58.9638° W,Maybe,Other,cat,Yes,night owl,Maybe
"COMP SCI 220:LEC002, COMP SCI 220:LAB324",LEC001,18,Engineering: Mechanical,,,53706,44.977753,-93.265015,Maybe,none (just cheese),cat,Yes,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB311",LEC001,20,Business: Information Systems,,,53711,34.385204,132.455292,Yes,pepperoni,dog,No,early bird,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,19,Engineering: Biomedical,,,53703,41.8781 N,87.6298 W,No,macaroni/pasta,dog,No,night owl,No
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,19,Engineering: Biomedical,none,maybe entrepreneurship,53703,37.98381,23.727539,No,macaroni/pasta,dog,No,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC006,18,Data Science,NA,NA,53706,40,74,Yes,pepperoni,dog,No,no preference,Yes
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC001,19,Engineering: Mechanical,,,53711,41.95881,-85.32536,No,Other,dog,No,no preference,No
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,18,Data Science,,,53706,32.715736,-117.161087,Yes,sausage,dog,No,night owl,Maybe
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC002,18,Other (please provide details below).,Exploring Business (Undecided/Undeclared),,53706,43.060791,-88.119217,No,Other,neither,No,early bird,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC004,21,Science: Other,,,53715,27.963989,-82.799957,No,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,18,Data Science,N/a,N/a,53706,1.352083,103.819839,Yes,sausage,dog,No,night owl,Yes
"COMP SCI 220:LAB353, COMP SCI 220:LEC005",LEC005,19,Data Science,,,53703,-33.92487,18.424055,Yes,none (just cheese),dog,No,night owl,Yes
"COMP SCI 220:LAB313, COMP SCI 220:LEC001",LEC001,22,Other (please provide details below).,International Studies,"Environmental Studies, German",53703,48.13913,11.58022,No,none (just cheese),cat,No,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB311",LEC001,19,Engineering: Other,,,53715,38.331581,-75.086159,No,macaroni/pasta,dog,No,no preference,Yes
"COMP SCI 220:LAB322, COMP SCI 220:LEC002",LEC002,19,Business: Information Systems,,Accounting,53715,44.5,-88,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC002,19,Data Science,,,53705,21.59143,-158.01743,Yes,Other,dog,Yes,night owl,Yes
"COMP SCI 220:LAB321, COMP SCI 220:LEC002",LEC002,,Business: Finance,,,53593,45.813042,9.080931,Yes,Other,dog,No,early bird,Yes
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,21,Business: Information Systems,Supply Chain Management,"Environmental Studies, certificate in sustainability",53703,43.612255,-110.705429,No,sausage,dog,Yes,no preference,No
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,21,Data Science,,Economics,53703,41.00824,28.978359,Yes,pepperoni,cat,Yes,early bird,No
"COMP SCI 220:LAB321, COMP SCI 220:LEC002",LEC002,18,Engineering: Biomedical,,,53706,17.385044,78.486671,Maybe,green pepper,dog,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,21,Other (please provide details below).,Political Science,,53703,45.512,-122.658,No,sausage,dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,18,Engineering: Mechanical,,,53706,41.902782,12.496365,No,pepperoni,dog,No,early bird,Maybe
"COMP SCI 220:LAB352, COMP SCI 220:LEC005",LEC005,19,Engineering: Mechanical,,,53703,-36.848461,174.763336,Maybe,none (just cheese),dog,Yes,no preference,No
COMP SCI 319:LEC002,LEC001,,Data Science,,,53713,30.316496,78.032188,No,mushroom,cat,Yes,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB324",LEC002,,Business: Information Systems,n/a,n/a,53703,35.689487,139.691711,No,sausage,dog,Yes,night owl,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,18,Data Science,,,53706,52.520008,13.404954,Yes,pineapple,dog,Yes,early bird,No
"COMP SCI 220:LAB353, COMP SCI 220:LEC005",LEC001,19,Computer Science,,,53706,41.3784 N,2.1686 E,No,sausage,cat,No,no preference,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,20,Engineering: Mechanical,,,53715,41.878113,-87.629799,No,Other,cat,No,night owl,Yes
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC001,20,Computer Science,,None currently,53703,43.073051,-89.40123,Yes,none (just cheese),cat,Yes,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB361",LEC006,23,Data Science,,,53703,17.05423,-96.713226,Yes,basil/spinach,dog,No,night owl,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB314",LEC001,19,Engineering: Mechanical,,,53706,43.77195,-88.43383,Maybe,pepperoni,dog,No,early bird,Maybe
"COMP SCI 220:LAB311, COMP SCI 220:LEC001",LEC001,20,Other (please provide details below).,Economics,Data Science,53726,42.92,-87.96,Maybe,pepperoni,dog,Yes,early bird,No
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,19,Engineering: Mechanical,,,53715,29.424122,-98.493629,No,mushroom,dog,Yes,early bird,Maybe
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,18,Computer Science,,,53706,30.267153,-97.743057,Maybe,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB352, COMP SCI 220:LEC005",LEC005,,Computer Science,,,53715,44.9778,93.265,Maybe,sausage,cat,Yes,night owl,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,19,Science: Other,,,53715,41.9028,12.4964,Maybe,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,19,Data Science,,"Geography (physical science), GIS",53715,61.2176° N,149.8997° W,Yes,pineapple,cat,Yes,night owl,Maybe
"COMP SCI 220:LAB312, COMP SCI 220:LEC001",LEC001,20,Other (please provide details below).,Agricultural and Applied Economics,Portuguese,53703,-22.932924,-47.073845,No,pineapple,cat,Yes,early bird,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,18,Computer Science,,Data Science,53706,52.370216,4.895168,Yes,basil/spinach,cat,No,night owl,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,19,Engineering: Industrial,,,53703,5.838715,3.603516,Maybe,pepperoni,dog,Yes,early bird,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB353",LEC005,19,Engineering: Mechanical,,,53715,48.502281,-113.988533,Maybe,sausage,dog,No,night owl,Yes
COMP SCI 319:LEC004,LEC004,41,Languages,,,53705,29.654839,91.140549,No,pepperoni,cat,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB324",LEC002,21,Business: Other,MHR,none,53703,44,125,No,Other,neither,No,night owl,Maybe
COMP SCI 319:LEC005,LEC005,24,Business: Other,,,53703,43.073051,-89.40123,No,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC002,18,Other (please provide details below).,Undecided,,53706,46.786671,-92.100487,Maybe,none (just cheese),cat,No,no preference,Yes
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,18,Engineering: Biomedical,,,53705,35.689487,139.691711,No,basil/spinach,dog,No,night owl,Yes
COMP SCI 319:LEC001,LEC002,25,Other (please provide details below).,Medical school (visiting international student at UW-Madison),,53703,48.38203,-123.537827,No,basil/spinach,dog,Yes,early bird,No
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,19,Science: Biology/Life,,Plant Pathology,53705,46.009991,-91.482094,Yes,pineapple,dog,No,early bird,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,21,Science: Other,Personal Finance,Economics,53703,28.228209,112.938812,No,pepperoni,cat,Yes,night owl,Yes
"COMP SCI 220:LAB342, COMP SCI 220:LEC004",LEC004,18,Data Science,,,53706,35.689487,139.691711,Yes,pepperoni,dog,No,night owl,Maybe
"COMP SCI 220:LAB363, COMP SCI 220:LEC006",LEC006,21,Mathematics/AMEP,,,53703,41.878113,-87.629799,Maybe,pineapple,cat,Yes,night owl,Maybe
"COMP SCI 220:LAB352, COMP SCI 220:LEC005",LEC005,18,Other (please provide details below).,Environmental science,Data science,53706,Shanghai,East 121 degrees and 29 minutes,Maybe,mushroom,dog,No,night owl,Yes
