section,Lecture,Age,Primary major,Other Primary Major,Other majors,Zip Code,4701018: What is the latitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701019: What is the longitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701117: Are you considering declaring a Data Science Major?,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,21,Other (please provide details below).,Economics,,53715,,,No,none (just cheese),dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,19,Engineering: Mechanical,,,53715,45,-93,No,sausage,dog,No,night owl,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,21,Business: Finance,,Data Science certificate,53717,40.6461,-111.498,No,sausage,dog,No,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,26,Engineering: Mechanical,,,53703,41.902782,12.496365,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,25,Other (please provide details below).,Economics,Data Science Cert,53703,40.712776,-74.005974,No,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB332",LEC003,18,Mathematics/AMEP,,,53706,31.230391,121.473701,Yes,mushroom,dog,Yes,early bird,No
"COMP SCI 220:LAB314, COMP SCI 220:LEC001",LEC001,19,Computer Science,Econ,data science,53706,48.855709,2.29889,Yes,pepperoni,cat,Yes,night owl,Yes
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC005,17,Science: Biology/Life,,,53706,-18.766947,46.869106,No,basil/spinach,dog,Yes,early bird,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC001,19,Business: Information Systems,,,53711,38.893452,-77.014709,Maybe,pepperoni,dog,No,early bird,Yes
"COMP SCI 220:LAB313, COMP SCI 220:LEC001",LEC001,21,Computer Science,,Genetics and genomics,53715,16.306652,80.436539,Maybe,Other,dog,No,night owl,Yes
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,19,Data Science,,Economics,53703,35.689487,139.691711,Yes,sausage,neither,Yes,no preference,Maybe
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC004,18,Engineering: Industrial,,,53706,17.385044,78.486671,Maybe,mushroom,dog,No,early bird,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB344",LEC004,19,Computer Science,,,53715,37.774929,-122.419418,Yes,pepperoni,dog,No,night owl,Maybe
"COMP SCI 220:LAB344, COMP SCI 220:LEC004",LEC001,19,Data Science,Double major in Personal Finance and Data Science,,53703,26° 38' 26.2644'' N,81° 52' 20.3052'' W,Yes,pepperoni,dog,No,night owl,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,18,Data Science,,,53706,40.712776,-74.005974,Yes,pepperoni,dog,Yes,no preference,Yes
"COMP SCI 220:LAB323, COMP SCI 220:LEC002",LEC001,18,Business: Other,No other majors,No other majors,53706,36,117,Maybe,Other,dog,No,early bird,Maybe
"COMP SCI 220:LEC005, COMP SCI 220:LAB354",LEC001,19,Data Science,,,50703,42.360081,-71.058884,Yes,sausage,cat,No,night owl,No
"COMP SCI 220:LAB361, COMP SCI 220:LEC006",LEC006,19,Computer Science,cs,no,53711,36.569666,112.218744,Yes,pineapple,neither,Yes,early bird,Maybe
"COMP SCI 220:LAB351, COMP SCI 220:LEC005",LEC005,18,Computer Science,,Data Science,53706,37.54443,-121.95269,Maybe,pepperoni,dog,No,night owl,Maybe
